Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
218,2008-08-21,30.044126510620117,30.5481137891595,29.686457550344805,30.23921686661103,4138486
219,2008-08-22,29.735231399536133,31.084616918157714,28.971123599792904,31.084616918157714,4139879
220,2008-08-25,30.060382843017578,30.46682381737805,29.84903221330008,30.46682381737805,2034227
221,2008-08-26,30.109149932861328,30.206696191703788,29.556390739531455,29.751481052133325,1489491
222,2008-08-27,29.507614135742188,30.483072235593212,29.345037785767015,30.27172386265864,4297168
223,2008-08-28,29.068674087524414,29.914070214003967,28.694746969489618,29.58891734880014,7382078
224,2008-08-29,30.27173614501953,30.385540518209936,29.458854065327408,29.58891431604464,2219080
225,2008-09-01,30.255348205566406,30.386393730068086,29.649257655722195,30.206204467536963,3417069
226,2008-09-02,31.84428596496582,31.97533148580673,30.20620362372427,30.46829688719445,5030404
227,2008-09-04,31.172683715820312,31.746011960753723,30.910590359492925,31.483918604426336,2813325
228,2008-09-05,30.484682083129883,30.82867939714991,30.14068476910986,30.795916901799945,3330688
229,2008-09-08,32.090003967285156,33.384087058626505,31.778766909116385,32.1063829941035,8377948
230,2008-09-09,32.20466995239258,32.466763278481125,31.467533722524795,32.0900056497087,3737279
231,2008-09-10,31.926191329956055,32.466756903670785,31.61495431658069,32.04085561012574,3847698
232,2008-09-11,31.074392318725586,31.778765992413735,30.828680262073156,31.778765992413735,2567354
233,2008-09-12,31.3856201171875,32.23742261153337,30.87781486947317,31.28733487218018,6093354
234,2008-09-15,29.403547286987305,30.714011492964875,28.518984392310156,30.238968662655715,6770268
235,2008-09-16,29.97688102722168,30.238974362174922,27.847376291133635,28.256896432689025,4654621
236,2008-09-17,29.20698356628418,30.40278145292063,28.830223714949256,30.40278145292063,4674190
237,2008-09-18,29.141450881958008,29.714778910700716,27.044709265557145,28.830216110712488,6603710
238,2008-09-19,30.910581588745117,31.074389612246254,29.48545089556984,29.829448189279926,9821730
239,2008-09-22,30.23897361755371,33.08923551002399,29.993261538671025,31.778768867527425,4162514
240,2008-09-23,29.878585815429688,30.550199068653193,29.321639052435156,29.878585815429688,6569683
241,2008-09-24,30.566591262817383,30.894207384501115,29.583742897766175,29.976881799428853,5730103
242,2008-09-25,29.61649513244629,30.77953240562839,28.912119381916277,30.648484669307617,10926783
243,2008-09-26,29.141450881958008,29.780303891416242,28.633647833930826,29.780303891416242,4967945
244,2008-09-29,28.060327529907227,29.976880420524278,27.519759620921203,29.976880420524278,7859964
245,2008-09-30,28.109460830688477,29.157831620679207,26.53690353480825,26.53690353480825,6616439
246,2008-10-01,29.043167114257812,29.321639388048336,27.896508864208194,28.469839100127125,3743739
247,2008-10-03,29.452693939208984,29.813070298403208,28.666414004824865,29.19060062774761,4681406
248,2008-10-06,28.846599578857422,29.485450415758237,28.25689025949187,29.12507410299319,5560277
249,2008-10-07,29.79669189453125,30.435545096518428,28.830224799176122,28.830224799176122,9928258
250,2008-10-08,29.567352294921875,29.8130643084639,27.552512450804286,28.79745598556319,9985473
251,2008-10-10,29.387168884277344,30.058782299200328,27.208522819695887,29.452693878348864,9025179
252,2008-10-13,29.97688102722168,30.206211862134907,29.33803005075306,29.534600607415232,6805621
253,2008-10-14,29.256120681762695,31.090771469732545,29.026789888713605,30.14068358168837,5099383
254,2008-10-15,29.01040267944336,29.632872164330276,28.699167936999903,29.09230667596996,5495022
255,2008-10-16,27.896509170532227,28.600884928700292,27.355943639988503,28.600884928700292,6651066
256,2008-10-17,25.799772262573242,28.666412884485155,25.423012447763043,28.469844574912972,5586092
257,2008-10-20,26.09462547302246,27.126617415556687,25.275585306783544,25.89805716619831,7922965
258,2008-10-21,26.30758285522461,27.68357018335866,25.55406529735933,26.3567243869551,8047276
259,2008-10-22,24.866065979003906,26.242053055725002,24.6203539216684,26.045484742929823,5408099
260,2008-10-23,23.653886795043945,24.47292698112551,23.293508224452577,24.24359617338041,6641370
261,2008-10-24,20.59067726135254,23.260747593350317,20.31220268704112,22.933131492649295,9905588
262,2008-10-27,19.001733779907227,20.312197872067955,17.036037641666137,20.21391262079823,12878172
263,2008-10-29,21.507997512817383,22.867603108566577,19.656965664750512,21.622661786867898,13094201
264,2008-10-31,22.883983612060547,23.588359366056952,21.753708822843368,22.638271604761673,8097887
265,2008-11-03,23.588363647460938,24.210833290217423,22.769321252682868,24.178070794582382,4951148
266,2008-11-04,24.62034797668457,24.816918463803315,23.146075988658502,23.26074025465429,4515828
267,2008-11-05,23.719417572021484,25.81616248921616,23.260753579921342,25.81616248921616,6145587
268,2008-11-06,22.933130264282227,24.489308881047375,22.458087388068236,23.26074634743515,4896229
269,2008-11-07,24.71863555908203,25.45577162284171,22.605510398873577,22.769318413042395,8250147
270,2008-11-10,25.275585174560547,25.848913287928568,24.71863830878934,25.488534727953216,3775177
271,2008-11-11,24.980731964111328,26.029102942127167,24.407403842500777,25.390252050976006,8900004
272,2008-11-12,23.932355880737305,25.521294515039163,23.637502342436612,25.521294515039163,5705390
273,2008-11-14,23.850448608398438,24.898821538376808,23.55559511045958,23.719403103045188,4038880
274,2008-11-17,24.833303451538086,25.652345863419242,22.605513690128895,25.652345863419242,5361538
275,2008-11-18,23.490083694458008,24.767785764549156,23.03141976078719,24.767785764549156,6392448
276,2008-11-19,22.9167537689209,24.325503526445534,22.621897928440482,23.588367257928006,5606729
277,2008-11-20,22.671043395996094,23.09694260595612,21.70457399333051,22.933134533882516,5080395
278,2008-11-21,24.112545013427734,24.866062322820902,21.950278338088808,22.523606387572332,8350092
279,2008-11-24,24.71863555908203,25.111774348729515,23.4900754528159,24.83329983592717,5420119
280,2008-11-25,24.112545013427734,25.275582358166275,23.91597672953499,24.98072882143296,5453771
281,2008-11-26,24.653114318847656,25.02987188596619,23.670266173193884,24.37463978886368,5246053
282,2008-11-27,24.653114318847656,24.653114318847656,24.653114318847656,24.653114318847656,0
283,2008-11-28,24.259973526000977,24.735018578586384,23.293506617458007,23.91597844900954,8464961
284,2008-12-01,24.063405990600586,25.685105054200424,23.96512072757877,24.73501936249629,5733003
285,2008-12-02,23.850448608398438,24.11254184089303,23.09693139814702,23.8832110956308,5879324
286,2008-12-03,24.57121467590332,24.88244953301233,23.34265427537649,24.079790515692586,6430656
287,2008-12-04,25.750635147094727,25.881682942330112,21.78647877798353,21.78647877798353,4648185
288,2008-12-05,25.43939781188965,26.667958277210232,24.58759500055177,24.58759500055177,5338962
289,2008-12-08,25.504913330078125,26.340334652976,24.40740095997091,26.127385121671313,11709287
290,2008-12-10,25.09539794921875,26.700718131155426,24.73502158152679,26.700718131155426,11172070
291,2008-12-11,24.816925048828125,25.537679989864642,24.423783970272964,25.537679989864642,9867592
292,2008-12-12,24.047021865844727,24.325496374121588,23.522835340307694,24.210829877351504,9847702
293,2008-12-15,24.44015884399414,24.980726575114094,24.243590577777223,24.866060086813082,5741641
294,2008-12-16,25.37386703491211,25.685101810350563,23.2607419230762,24.571208228216623,9183505
295,2008-12-17,25.341110229492188,26.045486165396486,24.66949679173742,26.045486165396486,8720755
296,2008-12-18,26.09462547302246,26.37310001825915,24.767779959357682,24.767779959357682,12640018
297,2008-12-19,27.355953216552734,27.683569342914236,26.0618699617826,26.864529027010477,10050607
298,2008-12-22,27.37233543395996,27.601666286154668,26.42224730088312,26.42224730088312,6524631
299,2008-12-23,26.815380096435547,27.634420254167463,26.618811791653062,27.192139902065403,5151765
300,2008-12-24,26.356719970703125,27.17576017423621,22.114089938970757,22.114089938970757,13318746
301,2008-12-26,26.405853271484375,27.798221183910808,25.717861047828855,27.798221183910808,5480531
302,2008-12-29,26.962804794311523,27.17575431258264,25.88167151448432,26.70071154135519,3418418
303,2008-12-30,26.913667678833008,27.355950290834546,25.914438155940182,26.897286429909098,4868199
304,2008-12-31,27.24127960205078,27.650799653545082,26.635191258912304,27.650799653545082,4396180
305,2009-01-02,27.634416580200195,28.09308034062437,27.11023228201471,28.09308034062437,3976548
306,2009-01-05,27.01194953918457,28.09308294836924,26.667952242381922,28.09308294836924,4505326
307,2009-01-06,26.815380096435547,28.043942554822042,26.37309974433349,28.043942554822042,3969700
308,2009-01-07,25.406635284423828,27.749091902279826,23.801317166784948,27.749091902279826,12109220
309,2009-01-09,25.275585174560547,27.51975610703082,24.01426243643545,27.51975610703082,5272587
310,2009-01-12,24.603971481323242,25.88167545063102,23.62112329960431,25.88167545063102,6595708
311,2009-01-13,24.243593215942383,24.88244403879585,23.88321468931303,24.57120925040964,4104761
312,2009-01-14,24.292736053466797,24.70225611882109,23.62112270192805,24.70225611882109,2777281
313,2009-01-15,23.932355880737305,24.292734402472284,23.42455281164038,24.07978487167605,3693599
314,2009-01-16,24.68587875366211,25.046257356558232,23.752174190903983,24.767782779612237,2131503
